,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
249,YV13,0.016470588,0.007058824,1,0,0.578947368,28,0.736842105,0.009411765,0.070588235,0.002352941,0.007058824,0,0,0.032941176,0.407058824,0.772758788,0.553920281,5,YV
250,YV54,0.028716216,0.018581081,1,0,0.530612245,39,0.795918367,0.008445946,0.084459459,0.003378378,0.008445946,0,0,0.027027027,0.349662162,0.725147151,0.60675825,3,YV
251,JohnPiper020,0.02724359,0.008012821,1,0,0.636363636,30,0.909090909,0.008012821,0.019230769,0.051282051,0.003205128,0.019230769,0,0.012820513,0.384615385,0.713499603,0.734986919,4,JohnPiper
252,Bahai30,0.049798116,0.040376851,1,0,0.275862069,10,0.344827586,0,0,0,0,0.00807537,0,0.009421265,0.271870794,0.836103533,0.642909801,4,Bahai
253,Unitarian042,0.030612245,0.020408163,1,0,0.242857143,199,0.710714286,0.018820862,0.012018141,0.024716553,0.023356009,0.012244898,0.002040816,0.008390023,0.259863946,0.711678131,0.488417497,5,Unitarian
254,MehrBaba156,0.018662519,0.034214619,0,1,0.342857143,15,0.428571429,0,0,0,0.01244168,0.00777605,0.00155521,0.00777605,0.458786936,0.853420485,0.717769756,6,MehrBaba
255,MalcolmX007,0.013637148,0.022009322,0,1,0.309033281,486,0.770206022,0.008717418,0.018470568,0.02433972,0.018297946,0.016485413,0.000604177,0.015622303,0.153115829,0.669400127,0.545841173,2,MalcolmX
256,LiberalJudaism165,0.029953917,0.033640553,0,1,0.256,92,0.736,0.031336406,0.001382488,0.005069124,0.020276498,0.012903226,0,0.013364055,0.339170507,0.696984683,0.651524397,4,LiberalJudaism
257,WBC421,0.015864622,0.022871497,0,1,0.363076923,240,0.738461538,0.012162877,0.017186674,0.008725542,0.013484929,0.019830777,0.01070862,0.017318879,0.16684294,0.681821101,0.622868147,1,WBC
258,YV47,0.04496788,0.00856531,1,0,0.395833333,34,0.708333333,0.017130621,0.064239829,0.010706638,0.006423983,0.002141328,0.002141328,0.00856531,0.361884368,0.733674762,0.515240181,5,YV
259,Rabbinic053,0.011523227,0.016204537,0,1,0.20361991,106,0.479638009,0.006481815,0.002160605,0.007562117,0.011883327,0.028087865,0.009362622,0.019445445,0.261793302,0.740450028,0.5750385,4,Rabbinic
260,JohnPiper250,0.022323462,0.046469248,0,1,0.353846154,68,0.523076923,0.009111617,0.004555809,0.013211845,0.009567198,0.017312073,0,0.012300683,0.272437358,0.656134362,0.535040144,5,JohnPiper
261,Bahai24,0.044213264,0.020806242,1,0,0.548387097,18,0.580645161,0.00520156,0,0,0.00520156,0.035110533,0,0.00130039,0.310793238,0.787488094,0.760861414,4,Bahai
262,JohnPiper564,0.026748971,0.022633745,1,0,0.496551724,117,0.806896552,0.041152263,0.023868313,0.003292181,0.002469136,0.043621399,0,0.009876543,0.173662551,0.641937059,0.646481448,4,JohnPiper
263,Rabbinic021,0.035336976,0.023315118,1,0,0.316384181,82,0.463276836,0.003642987,0.000364299,0.010564663,0.008014572,0.024043716,0.000728597,0.023315118,0.230236794,0.68657971,0.52748208,4,Rabbinic
264,ACLU03,0.03030303,0.025108225,1,0,0.285714286,25,0.446428571,0.002597403,0.004329004,0,0.00952381,0.004329004,0,0.01038961,0.399134199,0.747603608,0.476661675,3,ACLU
265,LiberalJudaism075,0.030031612,0.012118019,1,0,0.4625,57,0.7125,0.021601686,0.010010537,0.010010537,0.015806112,0.01369863,0,0.012118019,0.321917808,0.651338389,0.544057292,4,LiberalJudaism
266,Rabbinic019,0.023411371,0.015384615,1,0,0.326180258,123,0.527896996,0.004013378,0.011036789,0.010702341,0.006020067,0.04180602,0,0.024749164,0.242140468,0.756630669,0.754961673,4,Rabbinic
267,AEU005,0.033898305,0.028248588,1,0,0.625,13,0.8125,0.042372881,0.008474576,0.028248588,0.002824859,0.002824859,0,0.002824859,0.525423729,0.769637488,0.451907441,8,AEU
268,Bahai64,0.021201413,0.017667845,1,0,0.25,9,0.375,0,0,0,0.014134276,0,0,0.005300353,0.492932862,0.718910629,0.543670042,4,Bahai
